round,phase,agg_auroc,medical_train_loss,medical_val_loss,medical_val_auroc,medical_val_auprc,surgical_train_loss,surgical_val_loss,surgical_val_auroc,surgical_val_auprc,cardiac_train_loss,cardiac_val_loss,cardiac_val_auroc,cardiac_val_auprc
1,WARMUP,0.9521799475927357,0.6551458773623525,0.6333744544371039,0.9332622978424738,0.8337183296698587,0.6641547647463221,0.3963838068617357,0.9530613244950508,0.8499374918907835,0.4437460429784728,0.31695567259510743,0.972435513027759,0.8358581429166416
2,WARMUP,0.9562031994412393,0.41060993701747034,0.5481697774566381,0.9421639504789234,0.8415853476753274,0.3341573978565177,0.3689441299317656,0.9542462958508183,0.8502714659730674,0.2347690493777031,0.238170998406063,0.973107976569154,0.836926966501965
3,WARMUP,0.958987453913662,0.3622378219347612,0.495893323052246,0.9478743832152475,0.8464997696062264,0.2734493402143319,0.3716557191533817,0.9554045385293883,0.8511284464531428,0.18833723369894959,0.22290088120594764,0.9738275161796828,0.8389466073314809
4,WARMUP,0.961074707643647,0.3455301745407349,0.47289115546551425,0.9514296953822685,0.8498006929495245,0.24929087330289437,0.37619936279952526,0.9567115708443588,0.8514270664927591,0.1717548484436986,0.220019082421238,0.9748534123631897,0.8389676737134473
5,WARMUP,0.9617841268952518,0.3452908161500123,0.47999316071514536,0.9527087587326251,0.8509000512011067,0.2428112512543088,0.38952131302574194,0.9568242767665429,0.85057666295022,0.16360397034483712,0.21630239305855,0.9753618339098341,0.8393781066044265
6,WARMUP,0.9615774229023327,0.3402261060324654,0.48150635596397706,0.9532201576648285,0.850894668505177,0.23283927885143935,0.40433691019142,0.9547643867105017,0.8492075339699886,0.15702811462304941,0.21768398340610626,0.9756913663937703,0.8393738148942043
7,WARMUP,0.9620028616708924,0.3344194930112731,0.4803349938144726,0.9536961096040834,0.85167884646852,0.23453842794053814,0.40273023844772093,0.9555234811429182,0.8493719599541403,0.15306242459521788,0.21778712179330947,0.9758217308929099,0.8393227604054133
8,WARMUP,0.962146898739115,0.33229592576029554,0.4743014501523128,0.9539861240234389,0.8522354494382978,0.2250584673871394,0.3983229526595489,0.955557782945322,0.8495225181524932,0.14871696541767296,0.21812625388497286,0.9758832919063924,0.8404042756387903
9,WARMUP,0.9620020278655171,0.33176385856901125,0.48123014052357294,0.9541030071219448,0.8519306921157496,0.22753108686887893,0.4025469466641143,0.9543924126194995,0.8485445731838615,0.1475684228557639,0.216375589515399,0.97618131963637,0.840526721318858
10,WARMUP,0.9620134359380477,0.32681417351473224,0.48147669065315113,0.9544256384350118,0.8525592432854568,0.22553040367253377,0.4118125644587987,0.9545394203440872,0.8490746919969052,0.1424861118560884,0.21928205527365208,0.9757518410364268,0.8399298838182404
11,FINETUNE,0.9506226457611325,0.4372891564152937,0.7479055149365316,0.929827689407929,0.7779577529563726,0.30453459290014645,0.568271279335022,0.9555167989736187,0.7907580788059007,0.21207111347921012,0.4430907944452415,0.9700730186044624,0.7911811232874788
12,FINETUNE,0.959628259922069,0.596650882335627,0.5341378595449228,0.9412291687008004,0.8150411405827039,0.440720959788277,0.3364947963808034,0.9673103823091795,0.8481201780916496,0.3098127887016389,0.25671173921487866,0.9744337111006819,0.8263689239387467
13,FINETUNE,0.9608047381592693,0.5621674717197903,0.5229265029187751,0.9434587208800477,0.8190274672418209,0.4059884748389932,0.3337016647329202,0.9684797619365817,0.8505049459170446,0.2902792340371667,0.2562141935657529,0.9744525415283354,0.8281040594488596
