round,phase,agg_auroc,medical_train_loss,medical_val_loss,medical_val_auroc,medical_val_auprc,surgical_train_loss,surgical_val_loss,surgical_val_auroc,surgical_val_auprc,cardiac_train_loss,cardiac_val_loss,cardiac_val_auroc,cardiac_val_auprc
1,WARMUP,0.9600748505273085,0.9733427277708475,0.7171306546810454,0.949190591618095,0.8421921637169663,0.7027932519004458,0.642717849563908,0.9567752741916802,0.8520097997433149,0.5076439732458533,0.4608175034083209,0.9744590597532925,0.8332273263544823
2,WARMUP,0.9608584361813806,0.5713164556474812,0.5656599811220591,0.9501942863126493,0.8444711398484118,0.46934619839905073,0.4366773608568552,0.9603039050597385,0.8552867052086729,0.35886075307683246,0.32235209802979403,0.9730308442404964,0.8329927641590053
3,WARMUP,0.961380022082784,0.45281379264408506,0.5008603468932936,0.9509468804523631,0.8463572706543748,0.36083460599184036,0.3565163324410851,0.9619615285239533,0.8568639146395979,0.278558758428184,0.2621546546811039,0.9724825890968928,0.8332408441969509
4,WARMUP,0.9620936208631286,0.39342175137284585,0.48693941586312994,0.9516115292582735,0.8481078651739671,0.31556973408679573,0.3333859587641987,0.9629259882928394,0.8578243449745271,0.24546314588770635,0.2357399424592268,0.9730703157138471,0.8342546785080067
5,WARMUP,0.962992640812964,0.3660599273192672,0.4961384582308541,0.9526439494600879,0.8502979913607179,0.2867779075389817,0.334320891849898,0.9630680957599408,0.8579177280226551,0.22651041938764294,0.2246293437133715,0.9743649076150249,0.8360693585477562
6,WARMUP,0.9633054800966516,0.35427057937578815,0.4643352563138557,0.9529743635460577,0.8519688746238216,0.2708073556169766,0.336713740954528,0.9632917256924954,0.8588194505904901,0.21554607316488172,0.22897974676588206,0.9747223236168328,0.8364464022043179
7,WARMUP,0.9635626810082847,0.34453285439352016,0.47608629726203144,0.9533093057908076,0.8526861125254778,0.26375195150878156,0.3345763618881638,0.9630244389205178,0.8583333887639473,0.19936317508903945,0.220065647392597,0.975269854513219,0.8369009776524516
8,WARMUP,0.963788522778061,0.34344150656751826,0.4702624214433991,0.9534928377263548,0.8533513816409926,0.26368570669877284,0.3385105534280474,0.9628845588431829,0.858325181845537,0.20000205028166132,0.21911418228184135,0.9758047110833001,0.837375678665354
9,WARMUP,0.9639231087302823,0.33540831526032594,0.46804955799495224,0.9537457070932192,0.8543795090284041,0.25519479309417764,0.3433138716059762,0.9628767629790004,0.8580169244582503,0.19510708594831025,0.21909568932594606,0.9759108133006553,0.837904436583118
10,WARMUP,0.9638753632355646,0.3316518761942872,0.4739476185193104,0.9536971708912972,0.8545679861380632,0.2542519721449638,0.34172745783989494,0.9624112385178057,0.857465392129588,0.19340117826330952,0.21758156324040542,0.9761635755795426,0.8380734035792928
11,FINETUNE,0.9652744054531551,0.4356415259231508,0.4605530209641541,0.9540053686982534,0.8533829152222034,0.339625448419326,0.32849233597517014,0.9661623856235356,0.8586918014311323,0.2550376359100749,0.21546065156320923,0.9770801104332156,0.8363195649178997
12,FINETUNE,0.9652579728983003,0.4177540856850358,0.467269105721364,0.9545938878346769,0.8552975267696927,0.3252221305860954,0.3302944228053093,0.9660808631580824,0.8584643248191547,0.23249090179437545,0.21911364638255637,0.9764424107582579,0.8367664791907631
13,FINETUNE,0.9657245101787311,0.4240732024860593,0.46274746934660765,0.9544702124980013,0.8543258069470324,0.3112807898547779,0.3306833750291451,0.966092445584868,0.8593106996855266,0.23332355633014587,0.21286374576462125,0.9778869218334463,0.8409854212165275
14,FINETUNE,0.9661915303681052,0.4218791148633556,0.4526090251397243,0.9552589611554729,0.8543294950282998,0.3126361256047171,0.3263963330033663,0.966670898707223,0.8596701837956707,0.2245566989590482,0.21304582312558462,0.9779187887110137,0.8422969291196211
15,FINETUNE,0.9662606689052416,0.4161691021141225,0.4523208365503666,0.9553679907285949,0.8550673695472994,0.3032872615774878,0.3277309719171073,0.9669633549835619,0.859849727854912,0.23818015021885314,0.2142143526195901,0.9777837166049609,0.8366364562203218
16,FINETUNE,0.9661033882209862,0.41149700337411027,0.4532753386064968,0.9550738726653449,0.854395762939186,0.3113724083012464,0.3286657915324778,0.9666439472910485,0.8585298572585686,0.22433949695309488,0.21513363436877148,0.977893802182012,0.8411482467781548
17,FINETUNE,0.9664989769093841,0.4141231362534835,0.45227667564048174,0.9557692280479815,0.8551831080290444,0.2921332797783167,0.33163285366184003,0.9674921373141243,0.8608238419220167,0.22303025784288966,0.2137030159096116,0.9776337974309502,0.8401817170691794
18,FINETUNE,0.9664629855582113,0.40740496520183783,0.4574332446255515,0.9554655583998052,0.8543897737393089,0.29946564855117375,0.33103964578461004,0.9672934541469542,0.8606469747889173,0.21380536623480845,0.21404241596900145,0.9780100438604115,0.8414530433044867
19,FINETUNE,0.9662298867471731,0.41796456761987866,0.4524898211249208,0.9551790108520154,0.8543652676783495,0.28492745280671283,0.33685000995929176,0.9674179652349006,0.8614406482031794,0.2125789862035251,0.21403464964292582,0.9775794788896421,0.8428401743068117
20,FINETUNE,0.9665700116139422,0.4139756890986345,0.47064057645280805,0.9556704575845952,0.8558393598206083,0.29764841099073286,0.32951876984254735,0.9674217517975036,0.8621943783198449,0.21445607853735366,0.2121171782028328,0.9779937482980191,0.8416810860621778
21,FINETUNE,0.965615795796396,0.4073331423301612,0.4604168834939467,0.9557274133317486,0.857678692136086,0.3000470034930171,0.35258414213721817,0.9646629068327409,0.8579028623747774,0.21137153934233072,0.21359784720302785,0.977217355280921,0.8419790133828459
22,FINETUNE,0.9664082005375901,0.40078215228509056,0.46039457843366977,0.955292993098803,0.855892035687156,0.2899178738395373,0.33267156890517957,0.9665655431712684,0.8610775533745815,0.21026408234384003,0.21125688136202617,0.9785680763414506,0.8437336314198255
23,FINETUNE,0.9663247290049989,0.4010847141323364,0.4653157499511685,0.955116960926235,0.8553249224830118,0.2777735560270799,0.33115219546330943,0.967154465025526,0.8621643320859392,0.20008863939381227,0.21213644974440046,0.9781045581222877,0.8423120607622738
24,FINETUNE,0.9658903457820885,0.3983711459533831,0.4627148224848562,0.9545456346426787,0.85581247378105,0.28052319051558466,0.3350352709357803,0.9666504067213714,0.8611958823194747,0.2022921625343038,0.21398149821364765,0.9778713505182713,0.8428170891414385
25,FINETUNE,0.9664563834797448,0.39872576635891355,0.47042854506093845,0.955368910510847,0.8563144034539927,0.2885485368014193,0.33200904268872095,0.9674268747939664,0.863915057614755,0.1991832676366335,0.21446359779649568,0.9780024392646283,0.8423018958325362
26,FINETUNE,0.9662566440331888,0.39808692647951893,0.47289527985638224,0.9554622330332014,0.8566683238049355,0.28706540403013325,0.3427336610652305,0.9669887472268998,0.8632432533151385,0.20334127850648834,0.2135368197867014,0.9776500929933427,0.8416796044502646
27,FINETUNE,0.9661768478067814,0.40374739105458807,0.4779066273332697,0.9552623572745578,0.8568141392827456,0.27855765188531,0.33655870831697376,0.9665412646228139,0.8622633604240663,0.1973577986584931,0.21253082203199564,0.977966589027365,0.8424092191439069
28,FINETUNE,0.9666655665058015,0.39628617294066776,0.4654624830041311,0.9555596591994499,0.857229816760588,0.28523055611013554,0.3315383283471739,0.9677612059979152,0.8635313710602356,0.20272589441297983,0.2125377087555464,0.9781422189775947,0.8437819537035782
